t_start;uax;uay;uaz;ax;ay;az;gx;gy;gz;temp_imu;p;h;trigger
213.624;0.2;-0.65;0.6;0.0517578125;-0.8466796875;0.53955078125;-0.000169376693767;-0.00474254742547;0.000338753387534;24.9004114749;96656.4188893;376.892736938;0
213.632;0.2;-0.65;0.6;0.05517578125;-0.85009765625;0.53515625;-0.000677506775068;-0.00457317073171;-0.000169376693767;24.9067427867;96657.72507;376.784763628;0
213.641;0.25;-0.7;0.6;0.06201171875;-0.84375;0.5322265625;0.000338753387534;-0.00542005420054;0.000169376693767;24.9067427867;96657.72507;376.784763628;0
213.649;0.25;-0.7;0.6;0.04443359375;-0.84765625;0.54345703125;0.000508130081301;-0.00491192411924;0.0;24.9067427867;96657.72507;376.784763628;0
213.659;0.1625;-0.7;0.55;0.06689453125;-0.8447265625;0.55419921875;-0.00338753387534;-0.00406504065041;0.0015243902439;24.9067427867;96657.72507;376.784763628;0
213.667;0.2;-0.7;0.55;0.05126953125;-0.8515625;0.55224609375;-0.00508130081301;-0.0030487804878;0.0020325203252;24.9004114749;96656.4188893;376.892736938;0
213.675;0.2;-0.7;0.575;0.056640625;-0.83837890625;0.53369140625;-0.00694444444444;-0.00321815718157;0.00287940379404;24.9004114749;96656.4188893;376.892736938;0
213.684;0.2;-0.7;0.6;0.0634765625;-0.83837890625;0.546875;-0.00779132791328;-0.0030487804878;0.0030487804878;24.9004114749;96656.4188893;376.892736938;0
213.693;0.2;-0.775;0.6;0.05322265625;-0.85009765625;0.54150390625;-0.00728319783198;-0.00389566395664;0.00321815718157;24.9004114749;96656.8024666;376.861028993;0
213.701;0.2;-0.8;0.6;0.052734375;-0.84228515625;0.53466796875;-0.00694444444444;-0.00338753387534;0.00321815718157;24.9067427867;96658.1086525;376.75305568;0
213.71;0.25;-0.75;0.55;0.0634765625;-0.84228515625;0.53125;-0.00542005420054;-0.00338753387534;0.00287940379404;24.9067427867;96658.1086525;376.75305568;0
213.718;0.25;-0.75;0.55;0.05078125;-0.84326171875;0.53515625;-0.00406504065041;-0.00338753387534;0.00271002710027;24.9067427867;96658.1086525;376.75305568;0
213.727;0.2;-0.75;0.6;0.04931640625;-0.845703125;0.54296875;-0.00220189701897;-0.00372628726287;0.00237127371274;24.9067427867;96660.4101478;376.562810614;0
213.735;0.2;-0.75;0.6;0.0546875;-0.84130859375;0.54345703125;-0.00321815718157;-0.00440379403794;0.0015243902439;24.9194046649;96663.7896104;376.283467353;0
213.744;0.2;-0.75;0.6;0.05126953125;-0.84765625;0.5419921875;-0.00592818428184;-0.00389566395664;0.0020325203252;24.9194046649;96663.7896104;376.283467353;0
213.752;0.1875;-0.725;0.6;0.044921875;-0.8515625;0.54248046875;-0.00796070460705;-0.00372628726287;0.00169376693767;24.9194046649;96663.7896104;376.283467353;0
213.761;0.15;-0.65;0.6;0.05810546875;-0.84375;0.54833984375;-0.00931571815718;-0.00338753387534;0.0015243902439;24.9194046649;96660.7208665;376.537126489;0
